index	question	sentence	label	manually
0	Where does the Rhine encounter it's tributary the Neckar?	The Rhine is the longest river in Germany.	entailment	not_entailment
1	In which year did Alexander Dyce bequeathed his books to the museum?	These were bequeathed with over 18,000 books to the museum in 1876 by John Forster.	not_entailment	entailment
2	What scientist told the French Academy of Sciences that he had found how to liquefy oxygen?	Just two days later, French physicist Louis Paul Cailletet announced his own method of liquefying molecular oxygen.	not_entailment	entailment
3	Inequality in the presence of credit market imperfections has what kind of effect on human capital formation?	He showed that, in accordance with the credit market imperfection approach, inequality is associated with lower level of human capital formation (education, experience, and apprenticeship) and higher level of fertility, and thereby lower levels of growth.	not_entailment	entailment
4	What is the largest ABC station operator in terms of market reach?	"""The Sinclair Broadcast Group is the largest operator of ABC stations by numerical total, owning or providing services to 28 ABC affiliates and two additional subchannel-only affiliates; Sinclair owns the largest ABC subchannel affiliate by market size, WABM-DT2/WDBB-DT2 in the Birmingham market, which serve as repeaters of WBMA-LD (the largest low-power """"Big Four"""" affiliate by market size, which itself is also simulcast on a subchannel of former WBMA satellite WGWW, owned by Sinclair partner company Howard Stirk Holdings)."""	not_entailment	entailment
5	What spurred increased support for government reform?	In 1964 all 15 of Duval County's public high schools lost their accreditation.	entailment	not_entailment
6	Who reportedly wanted Tesla's company?	""""""" There have been numerous accounts of women vying for Tesla's affection, even some madly in love with him.[citation needed]"""	entailment	not_entailment
7	How much has global mean surface air temperature changed in the last century?	"""They predict that under a """"business as usual"""" (BAU) scenario, global mean temperature will increase by about 0.3 °C per decade during the [21st] century."""	not_entailment	not_entailment
8	Complexity classes are generally classified into what?	Of course, some complexity classes have complicated definitions that do not fit into this framework.	entailment	not_entailment
9	What did the Ominde Commission do?	After Kenya's independence on 12 December 1963, an authority named the Ominde Commission was formed to introduce changes that would reflect the nation's sovereignty.	not_entailment	entailment
10	Who assisted Wesley with ordaining Whatcoat and Vasey as presbyters?	As a result of the American Revolution, John Wesley was compelled in 1784 to break with standard practice and ordain two of his lay preachers as presbyters, Thomas Vasey and Richard Whatcoat.	not_entailment	entailment
11	What has the United Nations designed ISIL?	The group has been designated a terrorist organisation by the United Nations, the European Union and member states, the United States, India, Indonesia, Turkey, Saudi Arabia, Syria and other countries.	entailment	entailment
