question	sentence	index	times
What should be used when using ancestry to make inferences about individual phenotypes?	"""They found that many thousands of genetic markers had to be used in order for the answer to the question """"How often is a pair of individuals from one population genetically more dissimilar than two individuals chosen from two different populations?"""	not_entailment	2
What should be used when using ancestry to make inferences about individual phenotypes?	"""The authors conclude that """"caution should be used when using geographic or genetic ancestry to make inferences about individual phenotypes."""	entailment	2
How many professional schools does the University of Chicago have?	Beyond the arts and sciences, Chicago is also well known for its professional schools, which include the Pritzker School of Medicine, the University of Chicago Booth School of Business, the Law School, the School of Social Service Administration, the Harris School of Public Policy Studies, the Graham School of Continuing Liberal and Professional Studies and the Divinity School.	not_entailment	1
Structure of whom characterize England's second phase of neoclassical?	"""The first phase of neoclassicism in France is expressed in the """"Louis XVI style"""" of architects like Ange-Jacques Gabriel (Petit Trianon, 1762–68); the second phase, in the styles called Directoire and """"Empire"""", might be characterized by Jean Chalgrin's severe astylar Arc de Triomphe (designed in 1806)."""	not_entailment	1
Who did Elizabeth I collaborate with?	Elizabeth I of England, primarily interested in trade with the east, collaborated with English merchants to form the first trading companies to the far-flung regions, using their own jargon.	entailment	1
Proto-Slavic is sometimes referred to as what?	Proto-Slavic, sometimes referred to as Common Slavic or Late Proto-Slavic, is defined as the last stage of the language preceding the geographical split of the historical Slavic languages.	entailment	1
How many speeches did Nasser give?	"""Historian Elie Podeh wrote that a constant theme of Nasser's image was """"his ability to represent Egyptian authenticity, in triumph or defeat""""."""	not_entailment	1
Bach was influenced by a popular A cappella composer heavily for what composition?	Such is seen in the life of Palestrina becoming a major influence on Bach, most notably in the aforementioned Mass in B Minor.	entailment	1
How many overseas territories does Britain still have?	Britain retains sovereignty over 14 territories outside the British Isles, which were renamed the British Overseas Territories in 2002.	entailment	1
What was the name of the album several members of the cubs recorded?	The song received a good deal of local airplay that summer, associating it very strongly with that bittersweet season.	not_entailment	1
