question	sentence	index	times
Where does the Rhine encounter it's tributary the Neckar?	The Rhine is the longest river in Germany.	entailment	9
What kind of chloroplasts do Euglenophytes have?	Euglenophyte chloroplasts have a pyrenoid and thylakoids stacked in groups of three.	not_entailment	9
In what year did ABC agree to finance Disneyland?	Walt Disney and his brother Roy contacted Goldenson at the end of 1953 for ABC to agree to finance part of the Disneyland project in exchange for producing a television program for the network.	not_entailment	9
What company owned NBC in the 1930s?	In the 1930s, radio in the United States was dominated by three companies: the Columbia Broadcasting System (CBS), the Mutual Broadcasting System and the National Broadcasting Company (NBC).	not_entailment	9
Where are the Harvard medical, Dental and school of Public Health located?	The Harvard Medical School, Harvard School of Dental Medicine, and the Harvard School of Public Health are located on a 21-acre (8.5 ha)	not_entailment	9
When a commission reached no decision, what happened?	The issues of conflicting territorial claims between British and French colonies in North America were turned over to a commission to resolve, but it reached no decision.	not_entailment	9
When a commission reached no decision, what happened?	Frontiers from between Nova Scotia and Acadia in the north, to the Ohio Country in the south, were claimed by both sides.	entailment	9
What is the festival of food and drink known as?	NewcastleGateshead, a festival of food and drink, runs for 2 weeks each year in mid June.	not_entailment	8
What spurred increased support for government reform?	In 1964 all 15 of Duval County's public high schools lost their accreditation.	entailment	8
What tactic did researchers employ to offset the former deficit of work surrounding the complexity of algorithmic problems?	Before the actual research explicitly devoted to the complexity of algorithmic problems started off, numerous foundations were laid out by various researchers.	entailment	7
Which neighborhood lies west of the 41 freeway?	"""The """"West Side"""" of Fresno, also often called """"Southwest Fresno"""", is one of the oldest neighborhoods in the city."""	entailment	7
Where was the Gate of King Hugo?	"""It was in this place in Tours that the prétendus réformés (""""these supposedly 'reformed'"""") habitually gathered at night, both for political purposes, and for prayer and singing psalms."""	entailment	7
Inequality in the presence of credit market imperfections has what kind of effect on human capital formation?	He showed that, in accordance with the credit market imperfection approach, inequality is associated with lower level of human capital formation (education, experience, and apprenticeship) and higher level of fertility, and thereby lower levels of growth.	not_entailment	7
What scientist told the French Academy of Sciences that he had found how to liquefy oxygen?	Just two days later, French physicist Louis Paul Cailletet announced his own method of liquefying molecular oxygen.	not_entailment	7
What device is used to treat various conditions such as carbon monoxide poisoning?	Carbon monoxide poisoning, gas gangrene, and decompression sickness (the 'bends') are sometimes treated using these devices.	not_entailment	7
In which year did Alexander Dyce bequeathed his books to the museum?	These were bequeathed with over 18,000 books to the museum in 1876 by John Forster.	not_entailment	7
What encouraged trade under the Yuan?	It had significantly eased trade and commerce across Asia until its decline; the communications between Yuan dynasty and its ally and subordinate in Persia, the Ilkhanate, encouraged this development.	not_entailment	7
ABC began to focus on what kind of series after NBC's success in 1984?	After nearly a decade of ratings trouble, NBC had regained the ratings lead among the Big Three networks in 1984 on the success of series such as The Cosby Show, Cheers and Miami Vice.	not_entailment	7
What armed group stopped the uprising at Ballarat?	"""In 1854 at Ballarat there was an armed rebellion against the government of Victoria by miners protesting against mining taxes (the """"Eureka Stockade"""")."""	not_entailment	7
What is the animal that the Rhine's islands are named after?	"""In the local Alemannic dialect, the singular is pronounced """"Isel"""" and this is also the local pronunciation of Esel (""""Donkey"""")."""	entailment	6
When did the age of Imperialism begin?	"""Although imperialist practices have existed for thousands of years, the term """"Age of Imperialism"""" generally refers to the activities of European powers from the early 18th century through to the middle of the 20th century, for example, the """"The Great Game"""" in Persian lands, the """"Scramble for Africa"""" and the """"Open Door Policy"""" in China."""	not_entailment	6
Prior to Super Bowl 50, when were the Carolina Panthers last there?	Coincidentally, both teams were coached by John Fox in their last Super Bowl appearance prior to Super Bowl 50.	not_entailment	6
Prior to Super Bowl 50, when were the Carolina Panthers last there?	The Broncos made their second Super Bowl appearance in three years, having reached Super Bowl XLVIII, while the Panthers made their second Super Bowl appearance in franchise history, their other appearance being Super Bowl XXXVIII.	entailment	6
What additional membranes do secondary chloroplasts have?	While primary chloroplasts have a double membrane from their cyanobacterial ancestor, secondary chloroplasts have additional membranes outside of the original two, as a result of the secondary endosymbiotic event, when a nonphotosynthetic eukaryote engulfed a chloroplast-containing alga but failed to digest it—much like the cyanobacterium at the beginning of this story.	not_entailment	6
What are the secondary sources of primary law?	The three sources of European Union law are primary law, secondary law and supplementary law.	not_entailment	6
Apollo 17 was significant for what reason?	Dr. Harrison Schmitt, a geologist, was the first NASA scientist astronaut to fly in space, and landed on the Moon on the last mission, Apollo 17.	entailment	6
What governing body appoints commissioners and the board of European Central Bank?	"""The """"European Council"""" (rather than the Council, made up of different government Ministers) is composed of the Prime Ministers or executive Presidents of the member states."""	entailment	6
What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?	However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.	entailment	6
Where did France win a war in the 1950's	France fought and lost a bitter war in Vietnam in the 1950s.	not_entailment	5
Who assisted Wesley with ordaining Whatcoat and Vasey as presbyters?	As a result of the American Revolution, John Wesley was compelled in 1784 to break with standard practice and ordain two of his lay preachers as presbyters, Thomas Vasey and Richard Whatcoat.	not_entailment	5
When did the university start having a bachelor's degree program in Cinema & Media studies?	It has offered a doctorate in music composition since 1933 and in Cinema & Media studies since 2000, a master of fine arts in visual arts (early 1970s), and a master of arts in the humanities with a creative writing track (2000).	not_entailment	5
What is the largest ABC station operator in terms of market reach?	"""The Sinclair Broadcast Group is the largest operator of ABC stations by numerical total, owning or providing services to 28 ABC affiliates and two additional subchannel-only affiliates; Sinclair owns the largest ABC subchannel affiliate by market size, WABM-DT2/WDBB-DT2 in the Birmingham market, which serve as repeaters of WBMA-LD (the largest low-power """"Big Four"""" affiliate by market size, which itself is also simulcast on a subchannel of former WBMA satellite WGWW, owned by Sinclair partner company Howard Stirk Holdings)."""	not_entailment	5
What broadcast group is the largest operator of ABC stations?	The E. W. Scripps Company is the largest operator of ABC stations in terms of overall market reach, owning 15 ABC-affiliated stations (including affiliates in larger markets such as Cleveland, Phoenix, Detroit and Denver), and through its ownership of Phoenix affiliate KNXV, Las Vegas affiliate KTNV-TV and Tucson affiliate KGUN-TV, the only provider of ABC programming for the majority of Arizona (outside of the Yuma-El Centro market) and Southern Nevada.	not_entailment	5
Who led the Panthers in sacks?	The Panthers line also featured veteran defensive end Jared Allen, a 5-time pro bowler who was the NFL's active career sack leader with 136, along with defensive end Kony Ealy, who had 5 sacks in just 9 starts.	not_entailment	5
Where does the Amazon region rate among the entire earth for its amount of biodiversity?	The biodiversity of plant species is the highest on Earth with one 2001 study finding a quarter square kilometer (62 acres) of Ecuadorian rainforest supports more than 1,100 tree species.	entailment	4
Who designed the Turner and Vernon galleries that were built in 1858-9?	The next major expansions were designed by the same architect, the Turner and Vernon galleries built 1858-9 to house the eponymous collections (later transferred to the Tate Gallery) and now used as the picture galleries and tapestry gallery respectively.	not_entailment	4
What does the KCPE determine?	For those who proceed to secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines those proceeding to the universities, other professional training or employment.	not_entailment	4
Why was ABC forced to sell its interests in international networks in the 70s?	As a result, ABC was forced to sell all of its interests in international networks, mainly in Japan and Latin America, in the 1970s.	not_entailment	4
Other theories of the word's origin can be generally classed as what?	Some disagree with such double or triple non-French linguistic origins, arguing that for the word to have spread into common use in France, it must have originated in the French language.	entailment	4
"""How many nations contain """"Amazonas"""" in their names?"""	This region includes territory belonging to nine nations.	not_entailment	4
How did the 2001 IPCC report compare to reality on temperature levels?	Over the six years studied, the actual temperature rise was near the top end of the range given by IPCC's 2001 projection, and the actual sea level rise was above the top of the range of the IPCC projection.	entailment	4
A function problem is an example of what?	Notable examples include the traveling salesman problem and the integer factorization problem.	not_entailment	4
What did the Ominde Commission do?	After Kenya's independence on 12 December 1963, an authority named the Ominde Commission was formed to introduce changes that would reflect the nation's sovereignty.	not_entailment	4
What words are inscribed on the mace of parliament?	The words There shall be a Scottish Parliament, which are the first words of the Scotland Act, are inscribed around the head of the mace, which has a formal ceremonial role in the meetings of Parliament, reinforcing the authority of the Parliament in its ability to make laws.	not_entailment	4
Complexity classes are generally classified into what?	Of course, some complexity classes have complicated definitions that do not fit into this framework.	entailment	4
What US war has a large amount of Civil Disobedients?	During the Vietnam War era, the Chicago Eight used a political defense, while Benjamin Spock used a technical defense.	entailment	3
Who besides the british colonized Africa?	"""He states that maps """"contributed to empire by promoting, assisting, and legitimizing the extension of French and British power into West Africa""""."""	entailment	3
What was ABC's revenue in 1962?	Despite a significant increase in viewership (with its audience share having increased to 33% from the 15% share it had in 1953), ABC remained in third place; the company had a total revenue of $15.5 million, a third of the revenue pulled in by CBS at the same period.	entailment	3
What was Tesla's father's name?	Tesla's mother, Đuka Tesla (née Mandić), whose father was also an Orthodox priest,:10 had a talent for making home craft tools, mechanical appliances, and the ability to memorize Serbian epic poems.	not_entailment	3
What has successfully dealt with ozone depletion?	The IPCC process on climate change and its efficiency and success has been compared with dealings with other environmental challenges (compare Ozone depletion and global warming).	not_entailment	3
When was Zia-ul-Haq killed?	In July 1977, General Zia-ul-Haq overthrew Prime Minister Zulfiqar Ali Bhutto's regime in Pakistan.	not_entailment	3
What part of the Rhine flows west at Katwijk?	"""From Wijk bij Duurstede, the old north branch of the Rhine is called Kromme Rijn (""""Bent Rhine"""") past Utrecht, first Leidse Rijn (""""Rhine of Leiden"""") and then, Oude Rijn (""""Old Rhine"""")."""	entailment	3
What made emigration to these colonies attractive?	They also spread beyond Europe to the Dutch Cape Colony in South Africa, the Dutch East Indies, the Caribbean, and several of the English colonies of North America, and Quebec, where they were accepted and allowed to worship freely.	entailment	3
Who reportedly wanted Tesla's company?	""""""" There have been numerous accounts of women vying for Tesla's affection, even some madly in love with him.[citation needed]"""	entailment	3
Which sized cars were the least demanded cars in the crisis?	The crisis reduced the demand for large cars.	entailment	3
What satellite enabled Sky Digital to launch an all new digital service?	When Sky Digital was launched in 1998 the new service used the Astra 2A satellite which was located at the 28.5°E orbital position, unlike the analogue service which was broadcast from 19.2°	not_entailment	3
How much of a difference in homicide rates are related to inequality?	They estimated that about half of all variation in homicide rates can be accounted for by differences in the amount of inequality in each province or state.	not_entailment	3
How many Victorians are Buddhist?	Buddhism is the state's largest non-Christian religion, with 168,637 members as of the most recent census.	entailment	3
